##################################################
# DATA EXPORT AND TRANSFORMATION REPORT
#
# Original File: 6.xlsx
# Experiment Start Date/Time: 2025-06-27 14:30:54
# Processing Date: 2025-07-23 12:59:48.069924
#
# Operations Performed:
# - Column 1 (Time): Read from Excel Column B (milliseconds), divided by 1000.
# - Column 2 (Absorbance): Read from Excel Column C, comma decimal converted to dot decimal.
##################################################

Time (s)	UA
12.382	0.08180115507832589
12.988	0.08150947532268135
13.519	0.08146545312320726
14.045	0.08197003852772604
14.575	0.08152969142544435
15.103	0.0813105694015573
15.635	0.08141518290602877
16.161	0.08168641760550147
16.693	0.08159757020010402
17.221	0.08151024038934761
17.749	0.08242497682945794
18.277	0.08178055807816542
18.809	0.08160264194605614
19.337	0.08126175589693171
19.869	0.08121093658145621
20.419	0.08120193003887659
21.035	0.08133954249496089
21.564	0.08197227850870742
22.096	0.08112167195811304
22.624	0.08139600873151516
23.156	0.08129271863381503
23.686	0.08123294858321477
24.217	0.08134871630831907
24.745	0.08064587405912171
25.277	0.08101478861505905
25.805	0.08135684688921228
26.337	0.08092319740476164
26.865	0.08064832353444859
27.397	0.08076712856959072
27.925	0.08080954660313737
28.456	0.08062497825384934
28.984	0.0814090986862182
29.516	0.08089145710128422
30.045	0.08094706323304449
30.572	0.08065175556735987
31.098	0.08097627114136566
31.63	0.0806313431476954
32.158	0.08044032925156491
32.691	0.08057559765964627
33.219	0.0801317622865369
33.751	0.08125196304815573
34.278	0.08103556763558843
34.811	0.0810905444628758
35.339	0.08100872907977463
35.871	0.0812375876330536
36.399	0.08084790442478768
36.931	0.08124490748939174
37.458	0.08119572539246474
37.99	0.08109578863585562
38.518	0.08155168266659742
39.05	0.0817294030376099
39.578	0.08131639451244704
40.125	0.08156631155471615
40.717	0.08120881903711336
41.249	0.08205674810123148
41.777	0.08176641769524091
42.309	0.08209619899034362
42.838	0.08218331684416162
43.37	0.08201918384062609
43.898	0.08281307633326322
44.43	0.08227246745674684
44.958	0.08239395619306354
45.487	0.08301527853447181
46.016	0.0835520725994882
46.547	0.08338744966162978
47.076	0.08311609783386847
47.609	0.08371804983557936
48.136	0.0837934623877665
48.664	0.08354250883097168
49.193	0.0836491302090459
49.725	0.08419539091811422
50.253	0.08391154815026372
50.785	0.08393647361076359
51.31	0.08351379933228156
51.841	0.08376986135248174
52.369	0.08395795631937447
52.9	0.08351931871013561
53.429	0.0832862978902592
53.961	0.08317392926972929
54.489	0.08308376631898279
55.021	0.08306205675226278
55.549	0.08302901751860389
56.082	0.08307845592027105
56.607	0.08296706784200066
57.139	0.08324349512046501
57.668	0.0826595495649277
58.2	0.08253363873536505
58.728	0.08316528847746425
59.254	0.08262780241087843
59.781	0.08312689830659808
60.329	0.08325601610884391
60.941	0.08355578133929742
61.468	0.0837107778130811
61.997	0.08353779115966817
62.525	0.0840607229754718
63.054	0.08406126345098545
63.587	0.08369207597319771
64.116	0.08393442678524998
64.648	0.084033567467107
65.175	0.08426485016791281
65.706	0.08359776062238909
66.235	0.08456034068312719
66.767	0.08430997399349081
67.295	0.08385704800062067
67.828	0.08446190708044912
68.355	0.08380101612543452
68.888	0.08430651614953205
69.416	0.08433904143732758
69.948	0.08427101764478792
70.477	0.08379660341781062
71.008	0.0837228195949439
71.534	0.08399338376806274
72.065	0.08310956808912337
72.595	0.08349099687004544
73.127	0.08306906106183795
73.654	0.0829207466397756
74.187	0.08302817840989911
74.715	0.08312410833543842
75.247	0.08330130069234848
75.776	0.08277382829916419
76.306	0.08323636525789149
76.835	0.08311294183215343
77.368	0.08307469332981482
77.895	0.08328034050255977
78.428	0.08311267919740914
78.957	0.08336406377713634
79.49	0.08330982085525132
80.035	0.08323818342975804
80.643	0.0832416133120192
81.17	0.08339195254212307
81.703	0.08325215634680476
82.232	0.08362077916889145
82.759	0.08386145144393908
83.287	0.0836496308707604
83.819	0.08390264983218798
84.348	0.08453065856364743
84.881	0.08470191545381363
85.408	0.0839306825669414
85.94	0.08387996718723681
86.467	0.08431863200202894
86.999	0.08404156189707883
87.528	0.08396801267226513
88.06	0.08407463396327339
88.589	0.08363870483150612
89.121	0.08326704876610626
89.649	0.0835955666355056
90.183	0.08379243179711246
90.711	0.08339524255827556
91.243	0.08329592746909734
91.771	0.08327154217944839
92.303	0.08249302474220155
92.832	0.08336752939101559
93.365	0.08312378656055164
93.891	0.0831002303914313
94.422	0.08285057972486691
94.951	0.08306336300053205
95.483	0.08254114191984703
96.011	0.08271800522915072
96.543	0.0827749155740283
97.071	0.08257659678583168
97.604	0.08298723206172574
98.132	0.08236451405734149
98.664	0.08287610354647999
99.193	0.0822173147200153
99.725	0.08318942883187803
100.268	0.08331377790517161
100.873	0.08278925724999382
101.401	0.08304914447505449
101.933	0.08318239672237038
102.462	0.08281332452633763
102.995	0.08333198939776795
103.523	0.0831916593969496
104.064	0.08361524802911212
104.594	0.08320212026801055
105.125	0.08418357444236611
105.653	0.08379373600479231
106.185	0.08331488192972299
106.713	0.08308353055689267
107.245	0.08368194108290905
107.775	0.08350135777716555
108.307	0.08355382646460985
108.836	0.08308736375279668
109.368	0.08358138944278946
109.897	0.08347318547719897
110.429	0.08298871603415632
110.958	0.08336230077518195
111.49	0.08330589196158708
112.019	0.08310494459631428
112.55	0.08240149502152488
113.078	0.08269493492961234
113.607	0.08265005217739253
114.136	0.08299502815761345
114.667	0.08270782914891098
115.196	0.08281967628416809
115.728	0.08291860593014261
116.257	0.08260065479759626
116.789	0.08309961066408829
117.318	0.08239836814731233
117.85	0.08269752644158633
118.377	0.08272956099861328
